V1;V2;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12;V13;V14;V15;V16;V17;V18;V19;V20
-0,124998870523270203;0,335637269407501382;-0,14371874604054630;0,43333960221980883;-0,40050903594509440;-0,01225594307968265;0,28048769580152239;0,15131478538290216;-0,20789415364648683;-0,033023022742539182;0,027629099408563423;0,00354079420212706;-0,03252393766058465;0,088274209339882337;-0,06594759603240168;-0,02787100339795853;-0,01037719141190901;0,14247127590838565;0,11414335212296808;-0,08489926536987474
0,068399754442678651;0,278650734309113468;-0,10814550019545835;0,37637276002686881;-0,38250234651005743;0,07094830016555061;0,06573924577359462;0,04721213642031861;-0,10825878137484961;-0,142404764570206288;0,132062010023633353;-0,03708397803267202;0,09334169377277000;0,184277615342563927;0,16716765659630917;-0,12859639161157360;0,00342260153147759;-0,13906793317365373;-0,21391902810186131;0,12945974896595794
-0,475454167135426931;-0,037122754740319834;0,04329268039084305;-0,19317895557848538;-0,25699228621137216;0,48558404105033770;0,03865186607215548;0,16644752907518118;-0,08801611326638317;0,020266089015687504;-0,044878222329035308;0,02869143717105403;-0,02932415448883620;0,024539431600666399;-0,03691560097267401;0,13184845391377056;0,05812938793768508;-0,05732389403247964;0,08637325015243262;-0,05328746518584730
0,430521452334525767;0,321204817058365566;-0,03406312187536594;-0,35313749188287102;-0,06649019572749275;0,04502363191736743;0,02051951601805719;0,05141997484637335;-0,02055227500939790;-0,140968853292148061;0,018046436090501612;-0,02484466532865583;-0,00138756194869522;0,196031757757694602;-0,11310194418959651;-0,08454469790861432;-0,05357233307790588;-0,02147373765199353;-0,08625399144992679;-0,22597605624736927
-0,028600765157633497;-0,330914365519006992;-0,39931423921720061;-0,05993521801993425;-0,10270392031856365;0,09838522346827450;0,05915291920053640;-0,04922351376937331;-0,12168794749600577;-0,143424787392743114;-0,090582109878268396;0,01224320617694084;-0,06938144904388786;0,045276063876373077;0,11932893064788924;-0,11850468251075882;-0,13072699215615136;0,08737741785474296;-0,06875685236377228;0,07165759940835170
-0,470402308259358914;0,376678624850187604;-0,11985404607074886;0,05885505416394436;0,15783207284818102;-0,08851126802725504;0,04180062239551759;0,31748829702109932;-0,25470471260779942;-0,052973046110374566;0,057347085461794525;0,01914700860583169;-0,17379713043834996;0,092741038275066495;0,01925875512755795;-0,01185520329174838;0,02427532351209437;-0,06105335200272585;0,02747228985042948;0,03965425770042146
-0,073457558806609702;-0,335638853935767589;-0,36309819183158348;-0,05687590721029552;0,00584080660832571;0,26977169869626821;0,05663955429095566;-0,03779258632902981;-0,04830528437501731;0,013710280694833500;0,055360881271231184;0,10054554206749032;-0,14171738083940050;0,013550185219117463;-0,04923422557596339;-0,07382764229217259;0,20537482585962472;0,02460393140404069;0,01155969490238981;0,05664822655478453
0,408550437975227720;0,364529460239299385;-0,06512013534523670;-0,24151656357228954;0,02001411093159011;-0,00204165063749504;-0,14309228260287468;0,01483650870425101;0,06813274154902675;-0,036605712015290934;0,226271656438851970;-0,12885908157082807;0,10044124834861004;0,090297768941855830;0,10915854719970575;0,04647910063822486;0,13606860093694026;-0,16541500209122764;-0,01360743301952040;-0,03083423323017791
0,227873853700689355;0,432305057113812785;-0,13367824188680311;-0,07830418818207578;0,20425146422126961;0,23928319468344086;-0,03460875104288328;-0,28368872250801924;-0,11252362425034521;0,011979277447048138;0,160768594579420276;-0,07845288633070559;0,12115400459800862;0,027203329315900616;-0,08597726862779392;0,03489335241383131;-0,05308995458899803;0,10721606972739361;-0,01374649424534870;-0,01581587113348298
-0,060050013448038259;0,196791767202844831;-0,10168426163650232;0,39530180866282355;-0,23960733259256684;-0,07730541093520743;0,10235784362448859;0,12667111119678612;0,08351321279205350;-0,078071112528569214;0,085232613969198720;0,04026272212174008;0,02217708174880022;-0,311608410134868064;-0,09327406265219636;0,11516225827502291;-0,18238468829341647;0,21089286913902489;0,09961918921765367;0,16489524566494501
0,429394173556307046;0,245371008411671032;0,01867382782377936;-0,37023169396534961;-0,00698580754834429;0,03190186165276346;0,01451753071800011;0,08637021592053923;-0,06098314630946402;0,025670266699654436;0,029452694251567595;0,04036848329748759;0,16173484265771748;-0,099259688742124222;-0,17396849487070978;-0,00114928225574009;0,18065032378348517;0,01219932028119358;0,16109089520429312;0,05546396327615646
-0,648927553850717986;0,202066333345959248;0,09952680907283015;-0,19768845401320759;-0,04816922939151342;-0,03171532791772395;0,01817308931831608;0,03177905118470692;0,06343001280652662;-0,122092778677898195;0,014509070161915523;0,13736784542078453;-0,06701147818189153;0,036940287509101825;0,10307578281744767;-0,11456403182513213;0,08571755193630744;0,07138083812234636;-0,05259683839034758;-0,03208728922323970
0,016770839813341886;0,490924264269168242;-0,24208447125497207;0,30447898898090059;0,26814624246210172;0,30502455453907595;-0,16220331309553246;-0,02595982889975981;0,03191082568926876;0,010307341924622694;0,097246922842280509;-0,02303598255390574;-0,03510279461186321;-0,019445393493965839;-0,05869250088648539;0,00766264668884553;0,11447154857775155;-0,13046959793111387;-0,14413920259060098;0,11343996550355216
-0,495814265470201687;0,103100169988310633;0,15913540034491294;-0,30324096966344261;-0,05845419427919801;-0,03809030238720941;0,18297706671927449;-0,11340104311314854;0,13797552105430338;-0,068561561633284987;-0,075870712292503265;0,06067078199368824;0,02015964376419365;0,062098302416073184;0,15464184172464451;0,05120412072674967;0,01437423300833508;0,02835288131978460;0,26513751759648846;0,05429606384595078
0,275532068093451044;0,204365819963897993;0,03690122212968972;-0,39632753240709884;-0,17977494293985247;0,01513392972472184;-0,05251972228388491;-0,00780111918290722;-0,17305081669409947;-0,173928099703117844;0,114597668181491238;0,08049963437705591;-0,18684012414240769;-0,151294830415315856;0,06081091511844598;0,00282799381644356;-0,19204358557753973;0,02428402509780279;-0,10582612784854883;-0,00806384262899250
0,338992915752474311;0,225866504336427021;0,06130724824474691;-0,32751526439649514;-0,11225433701395353;-0,14283165971698777;-0,18934579815912361;-0,08025953630685076;-0,22596973526284247;-0,018821255635005963;0,060219507442127854;0,18182653694306458;0,08938823222517159;-0,034789149349021838;-0,11771670775402038;-0,04074574465188905;0,00929760722771742;0,09469672125677665;-0,06770536785389418;-0,01385081276149235
-0,027013310222755094;-0,301171128254670295;-0,42055226084077468;-0,12380349138653723;-0,06655232673259812;-0,03867082169025640;-0,07805665609041694;0,15657909794183950;0,05892693610255930;0,023677826737598023;-0,073740220418361965;0,11444727214964008;0,03973851005674375;-0,002123007913358864;-0,06354309398121183;-0,11046281867818640;0,04963669693084799;-0,01964071316217652;-0,16737637818397827;0,12418029310701748
-0,206264271552898476;-0,321971735770028133;-0,32897065271075965;-0,10743513532732579;-0,05987668902453915;-0,02913290180426886;0,00688950421044672;-0,27210049206054771;0,03646891984477123;0,013372065243827549;-0,021983631187228073;-0,06655476586487227;-0,10043365080379978;0,126455103865569157;-0,01292506668065998;-0,02001930535932785;-0,10485613588111098;0,02103723282537471;-0,16702601357593080;-0,06372506269477733
-0,524532780464704751;0,033658862049445612;0,13341516283016988;-0,21837542497446630;-0,28529964114643863;0,32954856108977826;-0,08034287947431318;0,10996423039478426;-0,10610939183928347;-0,072187782382665350;0,007025364247182366;-0,07535537490379751;0,08283438025479758;-0,009284275285524359;-0,05658672813241110;-0,18085963770999164;-0,03468688102625628;-0,00867205493380341;-0,06537203324583679;0,12020424240760880
-0,462255437760168642;0,312917962552695050;-0,09062113751562791;0,02803515302204724;0,26484906109373241;-0,18333918932517246;-0,03640042288743338;0,29165930756050934;0,00716163654562765;0,020200120735540179;-0,087605885178841783;0,06474818498803343;-0,19089522049551652;-0,118982548500160101;0,11827511908010244;0,08759743000514014;0,01908329355526037;0,09206356877388654;-0,17009789107857762;0,03337292548795850
0,324436897088496656;0,285471542515629673;-0,06862625399435600;-0,28215851811508147;-0,05313096764927910;-0,10960851635642149;0,10885609367736719;0,05537688743168644;0,04861312856705755;0,240248865605255491;0,097344285639641634;0,21542857154506412;-0,15646517653862635;0,062987421736258403;0,12024226350302047;0,14404513380200862;0,10469945684120391;0,04528618004371342;0,10044889910651639;-0,04587674460755279
-0,045289244564384275;-0,284958659956360494;-0,37808451622043976;0,03425690089668231;-0,03930948424209617;-0,07136096892378160;-0,03512020906444969;-0,15241041557613225;-0,03524374865855884;0,120829232793715519;-0,046993407254004943;0,00909142915751736;0,16547204390648590;0,047697993281332632;-0,04587411185787766;-0,28193201310817317;-0,00349093362198930;0,03820491454884710;0,01602652285183294;-0,00956496400914290
0,129017092565411912;0,396651982723925545;-0,18426677166899871;0,35293594824273927;0,26036875835873552;0,21330562348905902;-0,04221935822247139;-0,05920998678633354;0,09966041660041292;-0,014369046246856688;-0,134973710654736484;-0,08416521478584703;-0,02503072998385829;-0,126444778465257701;0,15690358927890344;0,00229236205723786;-0,09001879886772340;-0,00548925650516725;0,06220870471287235;-0,03274122565909066
0,367749776619133273;0,110515272083525434;0,12966313859490214;-0,36241250031583955;-0,05875352844158644;0,06584597627561391;0,08400162371622341;0,03558612482619397;-0,01110063213543889;-0,000491672919168844;-0,158823137845103296;-0,10579392011002213;-0,03822938051356224;0,145419451759881191;0,01828288932271616;0,08747861588846309;-0,17252060967683211;0,11025170416016294;0,14173107692677656;0,17837126242321727
0,028341181696181505;0,215084220710527352;-0,11560875767793997;0,32076046980394457;-0,25932796362108579;-0,17758970025023130;0,06177803778260368;-0,14564222873762042;-0,17981042955076898;0,016044933344451652;-0,094825402078648216;-0,00150959765323741;0,07100420620118612;0,080843850443643672;0,24607086099795922;-0,04625131143118394;-0,09522588953521957;-0,24781328949022424;0,05678376403539745;0,12950307432625696
0,027916116725762417;-0,272875994527672971;-0,39023224531250383;-0,06239082483448417;-0,04954600528182434;0,03684903205211119;-0,00445476141302787;0,06991514770379599;-0,14027130722035033;-0,201851879950625507;-0,019647117377741781;-0,17342118466648263;0,06845190213020712;-0,213228671769126854;0,03304133007887532;0,00795873855147287;-0,01193023576784286;0,02107682035542158;0,03427799295860313;-0,04426718648294654
-0,431496607276267985;-0,039286748515017386;0,29349503082190453;-0,09176512810690464;-0,27228445795852424;0,18363444935744652;-0,21623951748786105;-0,01959235657607996;0,06381377106467968;0,017722761709673050;0,084867088972425703;0,20036005082477437;-0,07414939347163918;-0,061370020566085627;-0,18991570836469637;-0,00704883227788140;-0,02683798227519038;0,03819938345514858;-0,09450062321084823;-0,13306368642661739
-0,055088212147642215;0,163037098823688081;0,04773784960766777;0,44847972821152726;-0,31797107349765941;-0,06752261479036187;0,12495800242901153;0,17048950543930028;0,09124880652026257;0,176728130814721884;-0,128623011154569755;-0,13278664914510210;-0,10852603964016964;-0,116212513358162101;0,05609642358110608;-0,06345734905214677;0,16362341312929862;0,19882146825008379;-0,00149376216035985;-0,21128666454539161
0,079546400306273635;0,492144635525709973;-0,20235026495087197;0,24414257784452692;0,37908667149660324;0,14839744476095260;-0,20617296281752154;-0,02438045545014990;0,10909846115908653;0,127435744412372515;-0,077306494342078161;0,03395605046128468;-0,04123184660747334;-0,009882552483992493;-0,06474153467801802;-0,02684292974567172;-0,17920296282119019;-0,03890625916216722;0,01133325009097572;0,02966159997263702
0,385758986239900903;0,227108964508164451;0,07448432120200391;-0,31200730323664305;-0,11912670261279586;-0,15502235027937575;0,16101085878217664;-0,06919924874392745;-0,05064988156094771;0,179595199756506924;-0,044052915607549321;-0,13157616755816515;-0,12189956745299224;-0,140849955250944070;0,06720480108656637;-0,08457992652850080;0,06374617701571673;-0,16098072372069913;0,12420365683517985;0,05954079036729926
-0,112280991892358739;-0,254396821733335110;-0,41121102776627566;-0,05595654634550923;-0,12700729232811309;-0,08466559405752759;-0,16221307348472688;-0,14623604551959868;0,01797914981391732;0,083153011805743360;-0,175455687193601328;-0,03183708402600584;-0,07451923355553614;0,011585468412228992;0,11457909417304542;-0,07559770617267807;0,14314627467966068;-0,07583630745385711;-0,01711698504280801;-0,06085605846853057
-0,599313712378369168;0,103491060085801515;0,16856199282739187;-0,21301998779096892;-0,10491614023490634;-0,07480398063854059;-0,01351699473158106;0,02227944624101050;0,13863931116399494;0,206119187639072665;-0,093294953993288701;-0,02527440756105374;0,01196225097099257;0,091951197630104231;0,08140474688922884;0,13375508192107166;0,13448021342881633;-0,07548789510667488;-0,15679801064130389;-0,10101821711480100
0,016487567216900294;-0,329638331120364114;-0,37964170303732142;-0,05418605750660037;-0,02389296592530930;-0,03228877526607021;-0,08783042109597318;0,01286023323082808;0,13124026846963055;0,173504233144365638;0,031205307517520472;0,14754866353133805;0,08943650227050284;-0,123424129081292702;0,00872884013821187;0,01209205636250044;0,06084732760824444;0,10060154839999449;0,10379119329072592;-0,02315435166436595
0,316395368418482648;0,285550119993149942;0,02903444278816944;-0,28630886917305354;-0,01898796509516429;-0,04529677525756097;0,01030084026309011;0,13179455044349553;0,15885921887200147;0,140808432542231465;-0,229947601852576317;-0,02021208842714779;0,07829955496871083;-0,070150808842538201;-0,06675588199882099;-0,31767570072588580;0,01788491183377545;0,13483851048125242;0,00456805748754574;0,07725346823727999
-0,076278524455637514;-0,174362148947600853;-0,39235667747488900;-0,02892567671745744;0,04912777879236165;-0,20693773392372969;-0,00403458510458109;-0,04127063741628897;-0,03160525818375724;0,101192367834792310;-0,035018504184347612;0,14269066892775170;0,08508665471395113;-0,151232616302436507;0,04960941520786505;0,15942741893475953;-0,13538180735738756;-0,07933819438555492;-0,11411120703779179;0,21163151331409624
0,270926584071951915;-0,111735836621294285;0,17605156842636385;-0,04029227478984009;-0,17023383649799598;-0,15452350608416140;-0,11089221966193881;-0,12492028284168474;-0,13290110129210164;-0,058499447769745992;-0,359344601420458931;-0,18871262501634392;0,06537610008042827;-0,059878006368947509;-0,05661474794544666;0,01297325199525323;-0,01215082532095153;-0,00116399009312773;0,07807414452736658;-0,00686075902815697
0,226235832344917592;-0,198983313523943800;0,07068398859202052;0,06598124494497981;0,13212257580019116;0,06258222833422147;0,07651480027327387;0,27375401842618302;0,08534190557148724;-0,117275439332694284;-0,228689141024997961;-0,16483115592904654;0,10343862862122122;-0,126796622968098183;-0,11932785024676448;0,15549326731486182;0,11206243652638052;-0,01253100354172994;0,04973999592473767;-0,01412008310439584
0,096291184469316268;-0,321996642063599736;-0,22220952606677183;0,04795136214533756;0,06732206604851797;0,21021121041868873;0,01095745834077296;0,08119203618465010;-0,10804776953787922;0,193207153329229692;0,067229522999152330;-0,17075629947143717;-0,00285848017423583;-0,011345907078151835;-0,08722895177811828;0,01415326517785273;0,02331354255556476;-0,06376880646373387;0,19100680756041397;0,01310021499850164
-0,455461319359399375;0,063902011223000960;0,08536923466340061;-0,07387586818599576;0,23451600683223872;-0,18366815742447595;0,05917838038268629;-0,27067591266797930;-0,12152095091663523;-0,034842709133095284;0,114629064973089917;-0,19812179646487377;0,06638063890866151;0,030450260763650545;0,12058715630263532;-0,01775257251831967;0,12651201618007712;0,14495512955078452;0,01277428357865739;0,11224488121404892
